"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"9" "Greg Zuerlein" "5.77-12.01" 1.58 1.89 3.43 3.66 8.89 "#19" 0.23 0.31 7.73 12.01 5.77 3.12 9.7344
"15" "Harrison Butker" "4.56-13.00" 1.6 1.93 3.26 3.32 8.78 "#15" 0.0600000000000001 0.33 7.73 13 4.56 4.22 17.8084
"2" "Stephen Gostkowski" "4.40-13.14" 1.86 2.19 2.27 2.33 8.77 "#9" 0.0600000000000001 0.33 7.72 13.14 4.4 4.37 19.0969
"9" "Harrison Butker" "5.04-13.02" 1.84 2.24 3.02 3.13 9.03 "#1" 0.11 0.4 7.72 13.02 5.04 3.99 15.9201
"8" "Graham Gano" "4.34-12.50" 1.77 2 2.32 2.34 8.42 "#2" 0.02 0.23 7.71 12.5 4.34 4.08 16.6464
"6" "Justin Tucker" "3.88-12.96" 1.79 2.01 2.4 2.46 8.42 "#21" 0.0600000000000001 0.22 7.7 12.96 3.88 4.54 20.6116
"11" "Greg Zuerlein" "5.36-13.22" 1.61 2.14 3.85 3.85 9.29 "#27" 0 0.53 7.7 13.22 5.36 3.93 15.4449
"14" "Mike Badgley" "5.05-11.81" 1.43 1.68 3.44 3.44 8.43 "#20" 0 0.25 7.68 11.81 5.05 3.38 11.4244
"17" "Harrison Butker" "4.40-12.98" 1.37 1.71 3.85 3.87 8.69 "#30" 0.02 0.34 7.65 12.98 4.4 4.29 18.4041
"14" "Justin Tucker" "4.37-12.17" 1.75 1.95 2.27 2.29 8.27 "#27" 0.02 0.2 7.65 12.17 4.37 3.9 15.21
"6" "Jason Myers" "3.58-13.86" 1.85 2.16 2.76 2.91 8.72 "#26" 0.15 0.31 7.64 13.86 3.58 5.14 26.4196
"13" "Matt Prater" "3.97-13.89" 1.81 2.22 2.63 2.69 8.93 "#17" 0.0600000000000001 0.41 7.64 13.89 3.97 4.96 24.6016
"14" "Greg Zuerlein" "4.18-12.26" 1.58 1.77 2.98 3 8.22 "#5" 0.02 0.19 7.63 12.26 4.18 4.04 16.3216
"17" "Mike Badgley" "4.55-11.93" 1.57 1.78 2.83 2.83 8.24 "#10" 0 0.21 7.61 11.93 4.55 3.69 13.6161
"11" "Ka'imi Fairbairn" "4.94-12.28" 1.74 2.07 2.59 2.6 8.61 "#7" 0.0100000000000002 0.33 7.61 12.28 4.94 3.67 13.4689
"8" "Ka'imi Fairbairn" "5.66-12.46" 2.02 2.5 2.55 2.57 9.06 "#28" 0.02 0.48 7.6 12.46 5.66 3.4 11.56
"9" "Justin Tucker" "4.69-13.11" 1.77 2.18 2.05 2.12 8.9 "#8" 0.0700000000000003 0.41 7.6 13.11 4.69 4.21 17.7241
"16" "Mike Badgley" "4.27-12.55" 1.69 1.96 2.59 2.59 8.41 "#2" 0 0.27 7.6 12.55 4.27 4.14 17.1396
"3" "Chandler Catanzaro" "4.21-13.13" 1.81 2.15 2.48 2.55 8.67 "#8" 0.0699999999999998 0.34 7.58 13.13 4.21 4.46 19.8916
"9" "Jason Sanders" "4.64-12.38" 1.81 2.12 2.12 2.12 8.51 "#16" 0 0.31 7.58 12.38 4.64 3.87 14.9769
"15" "Robbie Gould" "4.13-12.61" 1.79 2.04 2.1 2.14 8.37 "#13" 0.04 0.25 7.58 12.61 4.13 4.24 17.9776
"12" "Jason Myers" "2.78-13.42" 1.76 1.93 1.7 1.72 8.1 "#14" 0.02 0.17 7.57 13.42 2.78 5.32 28.3024
"16" "Stephen Gostkowski" "4.73-11.91" 1.7 1.95 2.53 2.53 8.32 "#3" 0 0.25 7.57 11.91 4.73 3.59 12.8881
"9" "Stephen Hauschka" "3.66-11.82" 1.7 1.75 1.58 1.6 7.74 "#5" 0.02 0.05 7.57 11.82 3.66 4.08 16.6464
"14" "Dustin Hopkins" "4.29-12.89" 1.92 2.25 2.12 2.16 8.59 "#24" 0.04 0.33 7.56 12.89 4.29 4.3 18.49
"10" "Stephen Hauschka" "2.61-13.63" 2.14 2.32 1.49 1.52 8.12 "#16" 0.03 0.18 7.55 13.63 2.61 5.51 30.3601
"17" "Sebastian Janikowski" "4.15-12.37" 1.69 1.93 2.55 2.55 8.26 "#6" 0 0.24 7.54 12.37 4.15 4.11 16.8921
"4" "Cody Parkey" "3.70-14.12" 1.83 2.18 2.45 2.77 8.91 "#29" 0.32 0.35 7.54 14.12 3.7 5.21 27.1441
"8" "Justin Tucker" "4.58-13.08" 1.96 2.4 2.44 2.44 8.83 "#25" 0 0.44 7.51 13.08 4.58 4.25 18.0625
"6" "Chris Boswell" "4.57-12.25" 1.62 1.9 2.8 2.87 8.41 "#20" 0.0700000000000003 0.28 7.5 12.25 4.57 3.84 14.7456
