"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Devontae Booker" "RB" 5.35 5.6 1.92 2.86 2.19 3.03 1.8 2.59 2.68 NA 2.94 3.44 2.8 2.4 1.69 2.44 3.15
"Dion Lewis" "RB" 6.85 8.04 8.89 10.38 10.26 9.61 9.92 NA 9.7 11.51 9.57 8.38 9.66 8.89 9.72 9.79 10.51
"Dion Sims" "TE" 2.15 2.48 1.06 1.87 NA 1.23 1.85 1.27 1.94 1.59 1.43 1.54 1.54 2.04 1.55 1.49 1.41
"Donte Moncrief" "WR" 4.45 4.17 6.04 5.85 4.91 4.26 4.84 5.13 NA 5.17 3.39 3.23 5.34 5.81 3.64 5.72 4.67
"Doug Baldwin" "WR" 9.27 0 0 6.05 10.23 11.23 NA 11.04 9.56 9.97 12.77 9.91 12.87 9.93 12.48 8.53 12.42
"Doug Martin" "RB" 4.94 3.81 5.43 5.44 5.45 5.82 NA 5.82 5.31 5.91 5.17 4.04 5.84 6.17 5.19 4.14 5.44
"Drew Brees" "QB" 24.06 23.92 19.97 20.78 18.54 NA 19.41 20.47 18.58 21.31 20.6 21.24 21.8 22.71 19.27 21.17 20.37
"Drew Stanton" "QB" 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0
"Duke Johnson Jr." "RB" 7.5 6.42 4.67 5.73 4.41 6 5.59 5.91 5.81 5.86 NA 5.39 5.47 5.28 4.03 5.74 4.14
"Dwayne Allen" "TE" 1.99 0.72 1.19 1.33 1.43 1.44 1.16 1.23 1.41 1.3 NA 1.22 1.26 1.29 1.23 1.28 1.25
"Dwayne Harris" "WR" 0.62 0 0.65 0.52 0.65 0.65 NA 0.58 0.54 0.67 0.63 0.5 0.64 0.6 0.65 0.51 0.61
"Ed Dickson" "TE" 0 0 0 0 0 2.17 NA 2.36 2.1 2.18 2.23 2.1 2.34 2.25 2.21 2.46 2.11
"Eli Manning" "QB" 10.9 15.42 15.64 13.23 11.95 11.71 12.52 13.05 NA 15.23 15.26 11.05 12.91 12.27 15.34 14.55 14.21
"Eli Rogers" "WR" 0 0 0 0 0 2.15 NA 2.24 1.21 1.63 1.2 1.41 1.78 2.34 2.37 2.08 2.24
"Elijah McGuire" "RB" 0 0 0 0 0 0 0 1.62 1.85 1.86 NA 1.9 1.48 1.75 1.93 1.95 1.79
"Elijhaa Penny" "RB" NA NA 0.55 0.58 0.49 0.47 0.53 0.52 NA 0.54 0.56 0.44 0.52 0.49 0.54 0.51 0.56
"Emanuel Byrd" "TE" 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
